REF. OBJET;PERIODE;PRIME ;PUISS.OBJET;MARQUE.OBJET;USAGE;VALEUR ASSURE;AGE.CONDUCTEUR;AGE.OBJET;SINISTRALITE;NATURE.SIN;DATE.SIN;MONTANT REMBOURSE;SIN.2021
7432TU220;180;343 132;5;VOLKSWAGEN;1;20 000 000;36;11;0;;;0;0
4949TU188;180;400 108;5;CITROEN;3;20 000 000;69;11;0;;;0;0
456TU182;364;791 924;4;KIA;1;20 000 000;57;7;0;;;0;0
1994TU218;180;2 242 299;5;VOLKSWAGEN;1;87 000 000;26;4;0,5;IDA;;14 270 200;1
5283TU157;364;717 694;6;RENAULT;1;23 000 000;44;13;0;;;0;0
5849TU175;364;491 148;5;CITROEN;3;10 000 000;44;12;0;;;0;0
9140TU142;180;440 014;5;VOLKSWAGEN;3;20 000 000;36;4;0;;;0;0
92TU83;364;479 806;4;FIAT;1;8 000 000;39;27;1;;;0;0
8810TU90;364;552 886;6;VOLKSWAGEN;1;12 000 000;50;36;1;;;0;0
9783TU159;180;376 649;6;CITROEN;3;8 000 000;68;13;0;;;0;0
6642TU118;364;628 284;6;RENAULT;1;20 000 000;33;17;0;;;0;0
7212TU178;180;344 073;6;CITROEN;1;15 000 000;40;10;0;;;0;0
9753TU74;364;623 446;5;RENAULT;1;8 000 000;32;27;0;;;0;0
3465TU196;364;703 540;4;FIAT;1;25 000 000;32;5;0;;;0;0
RS214236;180;522 444;5;CITROEN;1;40 000 000;28;6;0;;;0;0
5962TU127;180;460 062;10;ISUZU;3;10 000 000;50;20;0;;;0;0
5086TU107;364;519 651;9;MERCEDES-BENZ;3;8 000 000;57;24;0;;;0;0
RS214059;180;705 660;7;NISSAN;1;50 000 000;31;6;0;;;0;0
4780TU160;180;293 455;5;OPEL;1;22 000 000;32;13;0;;;0;0
1840TU101;180;386 912;7;CITROEN ;3;10 000 000;65;21;0;;;0;0
8068TU184;364;432 088;4;CITROEN;1;15 000 000;73;11;0;;;0;0
7560TU174;364;576 599;6;CITROEN;3;8 000 000;74;8;0;IDA;14/06/2021;1 335 947;1
9106TU101;180;361 689;7;CITROEN ;3;8 000 000;28;21;0;;;0;0
1453TU129;180;300 336;10;ISUZU;14;10 000 000;63;15;1;;;0;0
TRAC87206;364;369 368;14;ZETOR;2;10 000 000;27;24;0;;;0;0
7647TU114;180;203 256;5;FIAT;1;10 000 000;50;18;0;;;0;0
5010TU71;180;344 073;6;RENAULT;1;8 000 000;46;32;0;;;0;0
2595TU164;180;378 412;6;CITROEN;1;20 000 000;25;13;0;;;0;0
3812TU166;364;861 284;5;RENAULT;4;10 000 000;55;9;0;;;0;0
2506TU104;180;344 933;8;RENAULT;3;8 000 000;56;23;0;;;0;0
2070TU119;180;940 965;10;TOYOTA;4;10 000 000;44;19;0;;;0;0
2957TU83;364;646 448;7;MERCEDES-BENZ;1;8 000 000;44;25;0;;;0;0
837TU98;364;817 752;8;RENAULT ;3;15 000 000;56;21;0;;;0;0
2362TU138;180;291 993;5;CITROEN;1;12 000 000;62;13;0;;;0;0
5376TU84;180;266 636;6;VOLKSWAGEN;1;10 000 000;57;26;0;;;0;0
4875TU138;180;348 855;6;CITROEN;1;22 000 000;26;13;0;;;0;0
8390TU188;180;364 176;7;PEUGEOT;3;10 000 000;26;24;0;;;0;0
9155TU183;364;658 679;7;RENAULT;3;8 000 000;36;11;0;;;0;0
